2	Swift	SN2010jl	2013-01-21 14:53:02	2013-01-21 15:11:59	145.749	9.46	2013
2	Swift	Cen_X4	2013-01-21 15:12:02	2013-01-21 15:19:58	224.588	-31.655	2013
2	Swift	PSN J11401584+1727222	2013-01-21 15:20:02	2013-01-21 15:30:01	175.096	17.452	2013
2	Swift	CL1038	2013-01-21 15:30:02	2013-01-21 15:41:59	179.472	5.077	2013
2	Swift	2FGL J1656.4-0738	2013-01-21 15:42:02	2013-01-21 16:00:00	254.13	-7.612	2013
2	Swift	LMC_Survey_53	2013-01-21 16:15:02	2013-01-21 16:39:59	83.27	-69.442	2013
2	Swift	MKN 766	2013-01-21 16:40:02	2013-01-21 16:59:01	184.638	29.789	2013
2	Swift	SDSS J114657.79+403708.6	2013-01-21 16:59:02	2013-01-21 17:05:01	176.747	40.621	2013
2	Swift	SDSS J114654.28+323652.3	2013-01-21 17:05:02	2013-01-21 17:17:58	176.75	32.612	2013
2	Swift	PBC J1916.6+3643	2013-01-21 17:18:02	2013-01-21 17:35:53	289.15	36.779	2013
2	Swift	NGC 1275	2013-01-21 17:35:54	2013-01-21 17:38:09	49.937	41.512	2013
5	Suzaku	CIZA_J1358.9-4750	2013-01-21 17:48:00	2013-01-21 18:18:00	209.6554	-47.7744	20130121
2	Swift	NGC 1275	2013-01-21 18:01:02	2013-01-21 18:18:39	49.896	41.495	2013
2	Swift	SN2010jl	2013-01-21 18:18:40	2013-01-21 18:33:57	145.702	9.512	2013
2	Swift	NVSS J114118+680429	2013-01-21 18:34:02	2013-01-21 18:54:39	175.352	68.069	2013
2	Swift	J201605.5+380944	2013-01-21 18:55:07	2013-01-21 19:12:04	304.029	38.202	2013
2	Swift	NGC 1275	2013-01-21 19:12:09	2013-01-21 19:16:58	49.931	41.503	2013
2	Swift	NGC 1275	2013-01-21 19:44:02	2013-01-21 19:54:48	49.821	41.517	2013
2	Swift	PSN J11401584+1727222	2013-01-21 19:54:52	2013-01-21 19:58:59	175.065	17.482	2013
2	Swift	NGC 3516	2013-01-21 19:59:02	2013-01-21 20:17:59	166.697	72.546	2013
2	Swift	PSN J11401584+1727222	2013-01-21 20:18:02	2013-01-21 20:31:59	175.066	17.485	2013
